AreaCode,Country,Province Name,Province,City
201,US,New Jersey,NJ,Jersey City
202,US,District of Columbia,DC,Washington D.C.
203,US,Connecticut,CT,Waterbury
204,CA,Manitoba,MB,Winnipeg
205,US,Alabama,AL,Montgomery
206,US,Washington,WA,Seattle
207,US,Maine,ME,
208,US,Idaho,ID,
209,US,California,CA,Stockton
210,US,Texas,TX,San Antonio
212,US,New York,NY,New York
213,US,California,CA,Los Angeles
214,US,Texas,TX,Dallas
215,US,Pennsylvania,PA,Philadelphia
216,US,Ohio,OH,Cleveland
217,US,Illinois,IL,Springfield
218,US,Minnesota,MN,Duluth
219,US,Indiana,IN,Fort Wayne
225,US,Louisiana,LA,Baton Rouge
228,US,Mississippi,MS,Gulfport
229,US,Georgia,GA,Albany
231,US,Michigan,MI,Traverse City
234,US,Ohio,OH,Akron
240,US,Maryland,MD,Frederick
248,US,Michigan,MI,Troy
252,US,North Carolina,NC,Greenville
253,US,Washington,WA,Tacoma
254,US,Texas,TX,Waco
256,US,Alabama,AL,Huntsville
262,US,Wisconsin,WI,Racine
267,US,Pennsylvania,PA,Philadelphia
270,US,Kentucky,KY,Paducah
281,US,Texas,TX,Houston
301,US,Maryland,MD,Frederick
302,US,Delaware,DE,
303,US,Colorado,CO,Denver
304,US,West Virginia,WV,
305,US,Florida,FL,Miami
306,CA,Saskatchewan,SK,Regina
307,US,Wyoming,WY,
308,US,Nebraska,NE,Scottsbluff
309,US,Illinois,IL,Moline
310,US,California,CA,West Los Angeles
312,US,Illinois,IL,Chicago
313,US,Michigan,MI,Detroit
314,US,Missouri,MO,Saint Louis
315,US,New York,NY,Syracuse
316,US,Kansas,KS,Wichita
317,US,Indiana,IN,Indianapolis
318,US,Louisiana,LA,Shreveport
319,US,Iowa,IA,Dubuque
320,US,Minnesota,MN,Saint Cloud
321,US,Florida,FL,Orlando
323,US,California,CA,Los Angeles
330,US,Ohio,OH,Akron
334,US,Alabama,AL,Birmingham
336,US,North Carolina,NC,Winston Salem
337,US,Louisiana,LA,Lafayette
347,US,New York,NY,Bronx
352,US,Florida,FL,Gainesville
360,US,Washington,WA,Olympia
361,US,Texas,TX,Corpus Christi
385,US,Utah,UT,Provo
401,US,Rhode Island,RI,
402,US,Nebraska,NE,Omaha
403,CA,Alberta,AB,Calgary
404,US,Georgia,GA,Atlanta
405,US,Oklahoma,OK,Oklahoma City
406,US,Montana,MT,
407,US,Florida,FL,Orlando
408,US,California,CA,San Jose
409,US,Texas,TX,Beaumont
410,US,Maryland,MD,Baltimore
412,US,Pennsylvania,PA,Pittsburgh
413,US,Massachusetts,MA,Springfield
414,US,Wisconsin,WI,Milwaukee
415,US,California,CA,San Francisco
416,CA,Ontario,ON,Toronto
417,US,Missouri,MO,Springfield
418,CA,Quebec,QC,Quebec
419,US,Ohio,OH,Toledo
423,US,Tennessee,TN,Chattanooga
425,US,Washington,WA,Seattle area
435,US,Utah,UT,Logan
440,US,Ohio,OH,Ashtabula
443,US,Maryland,MD,Baltimore
450,CA,Quebec,QC,Laval
469,US,Texas,TX,Dallas
478,US,Georgia,GA,Macon
480,US,Arizona,AZ,eastern Phoenix area
484,US,Pennsylvania,PA,Allentown
501,US,Arkansas,AR,Little Rock
502,US,Kentucky,KY,Louisville
503,US,Oregon,OR,Portland
504,US,Louisiana,LA,New Orleans
505,US,New Mexico,NM,
506,CA,New Brunswick,NB,Moncton
507,US,Minnesota,MN,Rochester
508,US,Massachusetts,MA,Worcester
509,US,Washington,WA,Spokane
510,US,California,CA,Oakland
512,US,Texas,TX,Austin
513,US,Ohio,OH,Cincinnati
514,CA,Quebec,QC,Montreal
515,US,Iowa,IA,Des Moines
516,US,New York,NY,Elmont
517,US,Michigan,MI,Lansing
518,US,New York,NY,Albany
519,CA,Ontario,ON,Windsor
520,US,Arizona,AZ,non-Phoenix areas
530,US,California,CA,Redding
540,US,Virginia,VA,Roanoke
541,US,Oregon,OR,Eugene
559,US,California,CA,Fresno
561,US,Florida,FL,West Palm Beach
562,US,California,CA,Long Beach
570,US,Pennsylvania,PA,Scranton
571,US,Virginia,VA,Alexandria
573,US,Missouri,MO,Jefferson City
580,US,Oklahoma,OK,Enid
601,US,Mississippi,MS,Jackson
